ModelID;Model;MakeID;TypeDefault;LastModelYear
228;MKS;64;3;2016
229;MKT;64;4;2016
230;MKX;64;4;2016
231;MKZ;64;3;2016
232;Navigator;64;4;2016
233;Town Car;64;3;2011
234;2;72;3;2016
235;3;72;3;2016
236;5 ;72;6;2016
237;6;72;3;2016
238;626;72;3;2002
239;CX-5;72;4;2016
240;CX-9;72;4;2016
241;Miata;72;2;2016
242;MX-5 Miata;72;2;2016
243;RX-8;72;2;2016
244;Tribute;72;4;2016
245;B-Class;73;3;2016
246;C-Class;73;3;2016
247;CLA-Class;73;3;2016
248;CL-Class;73;3;2016
249;CLK-Class;73;3;2016
250;CLS-Class;73;3;2016
251;E-Class;73;3;2016
252;G-Class;73;4;2016
253;GLA-Class;73;4;2016
254;GL-Class;73;4;2016
255;GLK-Class;73;4;2016
256;M-Class;73;4;2016
257;R-Class;73;3;2016
258;S-Class;73;3;2016
259;SL-Class;73;3;2016
260;SLK-Class;73;3;2016
261;SLS AMG;73;3;2016
262;Sprinter;73;10;2016
263;Grand Marquis;74;3;2010
264;Mariner;74;4;2010
265;Milan;74;3;2010
266;Monterey;74;6;2010
267;Mountaineer;74;4;2010
268;Mystique;74;3;2010
269;Sable;74;3;2010
270;Villager;74;6;2010
271;Cooper;75;3;2016
272;Countryman;75;4;2016
273;Paceman;75;4;2016
274;Diamante;76;3;2005
275;Eclipse;76;3;2016
276;Endeavor;76;4;2016
277;Galant;76;3;2016
278;I MiEV;76;3;2016
279;Lancer;76;3;2016
280;Mirage;76;3;2016
281;Outlander;76;4;2016
282;Outlander Sport;76;4;2016
283;Raider;76;9;2010
284;370Z;78;3;2016
285;Altima;78;3;2016
286;Armada;78;4;2016
287;Cube;78;3;2015
288;Frontier ;78;9;2016
289;GT-R;78;3;2016
290;Juke;78;4;2016
291;Leaf;78;2;2016
292;Maxima;78;3;2016
293;Murano;78;4;2016
294;NV;78;10;2016
295;NV200;78;10;2016
296;Pathfinder;78;4;2016
297;Quest ;78;6;2016
298;Rogue;78;4;2016
299;Sentra;78;3;2016
300;Titan ;78;9;2016
301;Versa;78;3;2016
302;Xterra;78;4;2016
303;Alero;81;3;2004
304;Grand AM;90;3;2005
305;Grand Prix;90;3;2008
306;Montana;90;6;2006
307;Sunfire;90;3;2007
308;Vibe;90;3;2010
309;911;91;2;2016
310;918 Spyder;91;2;2016
311;Boxster;91;2;2016
312;Cayenne;91;4;2016
313;Cayman;91;3;2016
314;Macan;91;4;2016
315;Panamera;91;3;2016
316;Astra;99;3;2009
317;Aura;99;3;2009
318;EV1;99;2;2001
319;Ion;99;3;2007
320;L Series;99;3;2005
321;L Wagon;99;5;2005
322;L300;99;3;2005
323;L300 Wagon;99;5;2005
324;Outlook;99;4;2010
325;Relay;99;6;2007
326;S Series;99;3;2002
327;S Wagon;99;5;2001
328;Sky;99;2;2009
329;Vue;99;4;2010
330;FR-S;100;3;2016
331;IQ;100;3;2016
332;TC;100;3;2016
333;XB;100;3;2016
334;XD;100;3;2016
335;Fortwo;104;3;2016
336;BRZ;108;3;2016
337;Forester;108;4;2016
338;Impreza;108;3;2016
339;Legacy;108;3;2016
340;Legacy Wagon;108;5;2016
341;Outback;108;5;2016
342;Tribeca;108;4;2016
343;XV Crosstrek;108;3;2016
344;Equator ;109;9;2016
345;Grand Vitara;109;4;2016
346;Kizashi;109;3;2016
347;SL7;109;4;2010
348;SX4;109;3;2016
349;4Runner;113;4;2016
350;Avalon;113;3;2016
351;Camry;113;3;2016
352;Corolla/Matrix;113;3;2016
353;Corrola;113;3;2016
354;FJ Cruiser;113;4;2015
355;Highlander;113;4;2016
356;Land Cruiser;113;4;2016
357;Prius;113;3;2016
358;Prius C;113;3;2016
359;Prius V;113;3;2016
360;RAV4;113;4;2016
361;Sequoia;113;4;2016
362;Sienna ;113;6;2016
363;Tacoma ;113;9;2016
